Antimony,6.7,1.983,1.652
Barium,3.705,0.7,1.6
Beryllium,1.851,7.998,1.124
Bismuth,9.836,1.826,1.473
Cadmium,8.639,2.434,1.684,1.2
Calcium,1.547,3.602,0.948,1.2
Cesium,1.826,1.048,1.043,0.051
Chromium,7.117,5.73,1.473,1.19
Cobalt,8.820,4.752,1.315
Copper,8.93,3.94,1.489
Germanium,5.328,1.750,1.75
Gold,19.240,3.56,1.572
Hafnium,12.885,2.954,1.121 
Indium,7.279,2.419,1.536
Iron,7.85,3.574,1.920,-0.068
Lead,11.35,2.051,1.46
Lithium,0.53,4.645,1.133
Magnesium,1.740,4.492,1.263
Mercury,13.540,1.49,2.047
Molybdenum,10.206,5.124,1.233
Nickel,8.874,4.438,1.207
Niobium,8.586,4.438,1.207
Palladium,11.992,3.948,1.588
Platinum,21.419,3.598,1.544
Potassium,0.86,1.974,1.179
Rhenium,21.021,4.184,1.367
Rhodium,12.428,4.807,1.376
Rubidium,1.53,1.134,1.272
Silver,10.49,3.229,1.595
Sodium,0.968,2.629,1.223
Strontium,2.628,1.7,1.23
Sulfur,2.01,3.223,0.959
Tantalum,16.654,3.414,1.201
Thallium,11.84,1.862,1.523
Thorium,11.68,2.133,1.263
Tin,7.287,2.608,1.486
Titanium,4.528,5.22,0.767
Titanium,4.528,4.877,1.049
Tungsten,19.224,4.029,1.237
Uranium,18.95,2.487,2.2
Vanadium,6.1,5.077,1.201
Zinc,7.138,3.005,1.581
Zirconium,6.505,3.757,1.018 
Brass,8.453,3.726,1.434
2024 Aluminum,2.785,3.726,1.434
921-T Aluminum,2.833,5.041,1.420
Lithium-magnesium alloy,1.403,4.247,1.284
Magnesium alloy AZ-31B,1.775,4.516,1.256
304 Stainless steel,7.896,4.569,1.49
U-3 wt % Mo,18.450,2.565,2.2
Adiprene,0.927,2.332,1.536
Epoxy resin,1.186,2.730,1.493
Lucite,1.181,2.26,1.816
Neoprene,1.439,2.785,1.419
Nylon,1.140,2.570,1.849,-0.081
Paraffin,0.918,2.908,1.560
Phenoxy,1.178,2.266,1.698
Plexiglass,1.186,2.598,1.516
Polyethylene,0.915,2.901,1.481
Polyrubber,1.01,0.852,1.865
Polystyrene,1.044,2.746,1.319
Polyurethane,1.265,2.486,1.577
Silastic,1.372,0.218,2.694,-0.208
Teflon,2.153,1.841,1.707
Periclase (MgO),3.585,6.597,1.369
Quartz,2.204,0.794,1.695
Sodium chloride,2.165,3.528,1.343
Water,0.998,1.647,1.932,0.096
Gas,0,0.899,0.939
